a1,a5a,DR,a10,a12,a15_rec,a16,taille_menage,g01bis,g02bis,g04bis,g05bis,g06bis,g07bis,g08bis,g09bis,g11bis,g12bis,g12_autre,g10bis,g13bis,g14bis,g16bis,g19bis,g19_autre_a_preciser,g03_unitbis,g03_dureebis,g15_unitbis,g15_dureebis,poids,strate
LOUGA,10502,105,EpouseEpoux,Feminin,35-39ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,Le trekking/marche/à pied,"Indicipline conducteur, apprenti/receveur",,,,,,813.4342041015625,Autres urbains
LOUGA,10505,105,Chef de menage,Masculi,60-64ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Trop dangereux,,,,,,813.4342041015625,Autres urbains
LOUGA,10601,106,EpouseEpoux,Feminin,35-39ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Prix trop élevé,,,,,,1756.863891601563,Rural
LOUGA,10604,106,EpouseEpoux,Feminin,45-49ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1756.863891601563,Rural
LOUGA,10605,106,Chef de menage,Feminin,40-44ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Prix trop élevé,,,,,,1756.863891601563,Rural
LOUGA,10606,106,Chef de menage,Feminin,45-49ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Trop dangereux,,,,,,1756.863891601563,Rural
LOUGA,10607,106,Grand-PereGrand-Mere,Feminin,70-74ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Taxi clando,Prix trop élevé,,,,,,1756.863891601563,Rural
LOUGA,10608,106,S?urFrere,Feminin,25-29ans,Halpulaar, 10 à 15 personnes,Oui,Système solaire personnelgénérateur personnel,,,,,,,,,,,,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1756.863891601563,Rural
LOUGA,10609,106,PereMere,Feminin,70-74ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1756.863891601563,Rural
LOUGA,10611,106,Chef de menage,Masculi,75-79ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,,,1756.863891601563,Rural
LOUGA,10701,107,Chef de menage,Masculi,70-74ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10702,107,EpouseEpoux,Feminin,20-24ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10703,107,Chef de menage,Masculi,40-44ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10704,107,Chef de menage,Feminin,35-39ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,,,1894.259643554688,Rural
LOUGA,10705,107,Chef de menage,Masculi,40-44ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10706,107,EpouseEpoux,Feminin,45-49ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,,,1894.259643554688,Rural
LOUGA,10707,107,Chef de menage,Masculi,50-54ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10708,107,EpouseEpoux,Feminin,45-49ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10709,107,Beau-FilsBelle-Fille,Feminin,18-19ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10710,107,Chef de menage,Feminin,70-74ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,,,,,1894.259643554688,Rural
LOUGA,10711,107,EpouseEpoux,Feminin,40-44ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1894.259643554688,Rural
LOUGA,10712,107,Chef de menage,Feminin,55-59ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,Taxi clando,Trop dangereux,,,,,,1894.259643554688,Rural
LOUGA,10901,109,EpouseEpoux,Feminin,40-44ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,,,1535.003540039063,Rural
LOUGA,10902,109,EpouseEpoux,Feminin,35-39ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Perte de temps,,,,,,1535.003540039063,Rural
LOUGA,10903,109,Chef de menage,Masculi,55-59ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1535.003540039063,Rural
LOUGA,10907,109,Chef de menage,Masculi,40-44ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,,,1535.003540039063,Rural
LOUGA,10910,109,Autre Parent,Feminin,55-59ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public TaTa,Prix trop élevé,,,,,,1535.003540039063,Rural
FATICK,11001,110,Chef de menage,Feminin,35-39ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Trop dangereux,,,,,,775.6000366210938,Autres urbains
FATICK,11101,111,Beau-FilsBelle-Fille,Feminin,20-24ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1642.313842773438,Rural
FATICK,11102,111,Chef de menage,Masculi,40-44ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Autre,,,,,,1642.313842773438,Rural
FATICK,11103,111,EpouseEpoux,Feminin,40-44ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1642.313842773438,Rural
FATICK,11104,111,Chef de menage,Masculi,45-49ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Autre,,,,,,1642.313842773438,Rural
FATICK,11105,111,Chef de menage,Masculi,35-39ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Autre,,,,,,1642.313842773438,Rural
FATICK,11106,111,Chef de menage,Feminin,35-39ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1642.313842773438,Rural
FATICK,11107,111,EpouseEpoux,Feminin,25-29ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1642.313842773438,Rural
FATICK,11108,111,S?urFrere,Masculi,45-49ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1642.313842773438,Rural
FATICK,11109,111,PereMere,Feminin,50-54ans,Serere, au plus 5 personnes,Non,,,,,,,,,,,,Non,Logement impropre au raccord,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,,,1642.313842773438,Rural
FATICK,11110,111,Chef de menage,Masculi,50-54ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Autre,,,,,,1642.313842773438,Rural
FATICK,11111,111,Chef de menage,Masculi,75-79ans,Serere, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1642.313842773438,Rural
FATICK,11202,112,EpouseEpoux,Feminin,50-54ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,,,,,1621.8017578125,Rural
FATICK,11203,112,Enfant biologiqueAdopte,Feminin,20-24ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1621.8017578125,Rural
FATICK,11205,112,PereMere,Feminin,60-64ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,,,1621.8017578125,Rural
FATICK,11206,112,Chef de menage,Feminin,50-54ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1621.8017578125,Rural
FATICK,11207,112,Enfant biologiqueAdopte,Feminin,20-24ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1621.8017578125,Rural
FATICK,11208,112,Chef de menage,Feminin,40-44ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1621.8017578125,Rural
FATICK,11209,112,Enfant biologiqueAdopte,Masculi,18-19ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Autre,,,,,,1621.8017578125,Rural
FATICK,11211,112,Beau-FilsBelle-Fille,Feminin,30-34ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1621.8017578125,Rural
FATICK,11212,112,Enfant biologiqueAdopte,Feminin,18-19ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Autre,,,,,,1621.8017578125,Rural
FATICK,11302,113,PereMere,Feminin,45-49ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1650.685913085938,Rural
FATICK,11305,113,Chef de menage,Feminin,20-24ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,,,1650.685913085938,Rural
FATICK,11309,113,EpouseEpoux,Feminin,55-59ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1650.685913085938,Rural
FATICK,11401,114,EpouseEpoux,Feminin,40-44ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,,,,,826.1441040039063,Autres urbains
FATICK,11407,114,Chef de menage,Masculi,55-59ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,La moto/le scooter/taxi jakarta,Aucune repproche,,,,,,826.1441040039063,Autres urbains
FATICK,11408,114,Enfant biologiqueAdopte,Masculi,18-19ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,L'âne/charrette (tirée a la main ou par animal),Trop dangereux,,,,,,826.1441040039063,Autres urbains
FATICK,11409,114,Chef de menage,Masculi,60-64ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,La moto/le scooter/taxi jakarta,Prix trop élevé,,,,,,826.1441040039063,Autres urbains
FATICK,11412,114,EpouseEpoux,Feminin,40-44ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,La voiture/vehicule personnel,Manque de fiabilité des services de transport public,,,,,,826.1441040039063,Autres urbains
KOLDA,11501,115,Beau-FrereBelle-S?ur,Feminin,25-29ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1736.323486328125,Rural
KOLDA,11502,115,Enfant biologiqueAdopte,Masculi,35-39ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Manque de place/surcharge,,,,,,1736.323486328125,Rural
KOLDA,11503,115,Chef de menage,Feminin,50-54ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Manque de fiabilité des services de transport public,,,,,,1736.323486328125,Rural
KOLDA,11504,115,EpouseEpoux,Feminin,30-34ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1736.323486328125,Rural
KOLDA,11505,115,Beau-FilsBelle-Fille,Feminin,35-39ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Trop dangereux,,,,,,1736.323486328125,Rural
KOLDA,11506,115,EpouseEpoux,Feminin,25-29ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le vélo,Aucune repproche,,,,,,1736.323486328125,Rural
KOLDA,11507,115,S?urfrere,Masculi,20-24ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Logement impropre au raccord,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1736.323486328125,Rural
KOLDA,11508,115,Chef de menage,Masculi,55-59ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Manque de fiabilité des services de transport public,,,,,,1736.323486328125,Rural
KOLDA,11509,115,Beau-FilsBelle-Fille,Feminin,25-29ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1736.323486328125,Rural
KOLDA,11602,116,EpouseEpoux,Feminin,45-49ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Autre,La moto/le scooter/taxi jakarta,Trop dangereux,,,,,,670.819091796875,Autres urbains
KOLDA,11603,116,Enfant biologiqueAdopte,Feminin,14-17ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,La voiture/vehicule personnel,"Indicipline conducteur, apprenti/receveur",,,,,,670.819091796875,Autres urbains
KOLDA,11604,116,EpouseEpoux,Feminin,25-29ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,La moto/le scooter/taxi jakarta,Prix trop élevé,,,,,,670.819091796875,Autres urbains
KOLDA,11606,116,EpouseEpoux,Feminin,25-29ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,La moto/le scooter/taxi jakarta,Aucune repproche,,,,,,670.819091796875,Autres urbains
KOLDA,11607,116,Chef de menage,Masculi,50-54ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,La moto/le scooter/taxi jakarta,Aucune repproche,,,,,,670.819091796875,Autres urbains
KOLDA,11609,116,Chef de menage,Masculi,30-34ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,670.819091796875,Autres urbains
KOLDA,11611,116,Chef de menage,Masculi,60-64ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,Transport public Ndiaga ndiaye ou car rapide,Aucune desserte,,,,,,670.819091796875,Autres urbains
KOLDA,11612,116,Chef de menage,Feminin,30-34ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Manque de fiabilité des services de transport public,,,,,,670.819091796875,Autres urbains
KOLDA,11701,117,Autre Parent,Feminin,20-24ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1698.3017578125,Rural
KOLDA,11702,117,Enfant biologiqueAdopte,Masculi,20-24ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),"Indicipline conducteur, apprenti/receveur",,,,,,1698.3017578125,Rural
KOLDA,11703,117,Enfant biologiqueAdopte,Masculi,25-29ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Manque de place/surcharge,,,,,,1698.3017578125,Rural
KOLDA,11704,117,Chef de menage,Masculi,50-54ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Transport public Ndiaga ndiaye ou car rapide,Attente trop longue,,,,,,1698.3017578125,Rural
KOLDA,11705,117,NieceNeveu,Masculi,25-29ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Prix trop élevé,,,,,,1698.3017578125,Rural
KOLDA,11706,117,PereMere,Masculi,40-44ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Le vélo,Prix trop élevé,,,,,,1698.3017578125,Rural
KOLDA,11707,117,EpouseEpoux,Feminin,18-19ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Attente trop longue,,,,,,1698.3017578125,Rural
KOLDA,11708,117,S?urFrere,Masculi,25-29ans,Serere, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1698.3017578125,Rural
MATAM,11809,118,Chef de menage,Masculi,60-64ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Oui,Autre,Le trekking/marche/à pied,Prix trop élevé,,,,,,752.8593139648438,Autres urbains
MATAM,11812,118,Chef de menage,Masculi,50-54ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Logement impropre au raccord,La voiture/vehicule personnel,Attente trop longue,,,,,,752.8593139648438,Autres urbains
MATAM,11901,119,Enfant biologiqueAdopte,Feminin,40-44ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1440.9833984375,Rural
MATAM,11902,119,Chef de menage,Feminin,55-59ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1440.9833984375,Rural
MATAM,11903,119,Chef de menage,Masculi,60-64ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Manque de fiabilité des services de transport public,,,,,,1440.9833984375,Rural
MATAM,11905,119,EpouseEpoux,Feminin,30-34ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1440.9833984375,Rural
MATAM,11906,119,S?urFrere,Masculi,20-24ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,,,,,1440.9833984375,Rural
MATAM,11907,119,EpouseEpoux,Feminin,40-44ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Attente trop longue,,,,,,1440.9833984375,Rural
MATAM,11908,119,Autre personne non apparentee,Feminin,40-44ans,Halpulaar, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1440.9833984375,Rural
MATAM,11909,119,Enfant biologiqueAdopte,Masculi,45-49ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,La voiture/vehicule personnel,Manque de fiabilité des services de transport public,,,,,,1440.9833984375,Rural
MATAM,11910,119,PereMere,Masculi,85-89ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,La voiture/vehicule personnel,Prix trop élevé,,,,,,1440.9833984375,Rural
MATAM,11911,119,Autre Parent,Feminin,50-54ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Manque de fiabilité des services de transport public,,,,,,1440.9833984375,Rural
MATAM,11912,119,Enfant biologiqueAdopte,Feminin,14-17ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,1440.9833984375,Rural
KAFFRINE,12001,120,EpouseEpoux,Masculi,65-69ans,Wolof, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1872.8935546875,Rural
KAFFRINE,12008,120,EpouseEpoux,Feminin,35-39ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune desserte,,,,,,1872.8935546875,Rural
KAFFRINE,12103,121,Chef de menage,Masculi,50-54ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Oui,Frais de raccordbranchement trop couteux,Le trekking/marche/à pied,Trop dangereux,,,,,,878.8829345703125,Autres urbains
KAFFRINE,12201,122,Enfant biologiqueAdopte,Masculi,20-24ans,Wolof, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Frais de raccordbranchement trop couteux,L'âne/charrette (tirée a la main ou par animal),Manque de place/surcharge,,,,,,1784.949829101563,Rural
KAFFRINE,12202,122,Chef de menage,Masculi,45-49ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,La voiture/vehicule personnel,Manque de place/surcharge,,,,,,1784.949829101563,Rural
KAFFRINE,12203,122,EpouseEpoux,Feminin,18-19ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1784.949829101563,Rural
KAFFRINE,12204,122,PereMere,Feminin,55-59ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1784.949829101563,Rural
KAFFRINE,12205,122,EpouseEpoux,Feminin,30-34ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,La voiture/vehicule personnel,Prix trop élevé,,,,,,1784.949829101563,Rural
KAFFRINE,12206,122,Enfant biologiqueAdopte,Masculi,20-24ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Aucune repproche,,,,,,1784.949829101563,Rural
KAFFRINE,12207,122,EpouseEpoux,Feminin,30-34ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Taxi clando,Prix trop élevé,,,,,,1784.949829101563,Rural
KAFFRINE,12208,122,EpouseEpoux,Feminin,25-29ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Attente trop longue,,,,,,1784.949829101563,Rural
KAFFRINE,12209,122,Autre Parent,Feminin,40-44ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Ne sait pas comment se faire raccorder,Le trekking/marche/à pied,Prix trop élevé,,,,,,1784.949829101563,Rural
KAFFRINE,12210,122,EpouseEpoux,Feminin,45-49ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,,,,,1784.949829101563,Rural
KAFFRINE,12212,122,EpouseEpoux,Feminin,30-34ans,Wolof, au plus 5 personnes,Non,,,,,,,,,,,,Oui,Ligne coupée par défaut de payement de facture,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,,,,,1784.949829101563,Rural
KEDOUGOU,12301,123,PereMere,Feminin,70-74ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Prix trop élevé,,,,,,2029.677734375,Rural
KEDOUGOU,12302,123,Chef de menage,Masculi,50-54ans,Bedick, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,2029.677734375,Rural
KEDOUGOU,12303,123,Chef de menage,Masculi,55-59ans,Bedick, au plus 5 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Prix trop élevé,,,,,,2029.677734375,Rural
KEDOUGOU,12304,123,EpouseEpoux,Feminin,55-59ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,2029.677734375,Rural
KEDOUGOU,12305,123,Chef de menage,Masculi,30-34ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Prix trop élevé,,,,,,2029.677734375,Rural
KEDOUGOU,12306,123,Chef de menage,Masculi,35-39ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le vélo,Aucune repproche,,,,,,2029.677734375,Rural
KEDOUGOU,12307,123,Chef de menage,Masculi,60-64ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,2029.677734375,Rural
KEDOUGOU,12308,123,S?urFrere,Masculi,35-39ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Le vélo,Aucune repproche,,,,,,2029.677734375,Rural
KEDOUGOU,12309,123,Chef de menage,Feminin,35-39ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Ne sait pas comment se faire raccorder,Le trekking/marche/à pied,"Indicipline conducteur, apprenti/receveur",,,,,,2029.677734375,Rural
KEDOUGOU,12310,123,EpouseEpoux,Feminin,25-29ans,Halpulaar, 10 à 15 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,2029.677734375,Rural
KEDOUGOU,12311,123,EpouseEpoux,Feminin,20-24ans,Halpulaar, 6 à 10 personnes,Non,,,,,,,,,,,,Non,Autre,Le trekking/marche/à pied,Aucune repproche,,,,,,2029.677734375,Rural
